"term","Retatrutide_n","Retatrutide_percent","GLP1_n","GLP1_percent"
"General system disorders NEC",2829,36.16,7833,26.9
"Appetite and general nutritional disorders",2214,28.3,4196,14.4
"Gastrointestinal signs and symptoms",1866,23.85,15879,54.4
"Neurological disorders NEC",1100,14.06,3555,12.2
"Gastrointestinal motility and defaecation conditions",1049,13.41,8576,29.4
"Muscle disorders",888,11.35,992,3.4
"Sleep disorders and disturbances",757,9.68,1140,3.9
"Cardiac and vascular investigations (excl enzyme tests)",636,8.13,0,0
"Mood disorders and disturbances NEC",538,6.88,684,2.3
"Epidermal and dermal conditions",519,6.63,1005,3.4
