"term","Retatrutide_n","Retatrutide_percent","GLP1_n","GLP1_percent"
"Appetite disorders",2000,25.57,3979,13.6
"Asthenic conditions",1436,18.36,5677,19.5
"General signs and symptoms NEC",1243,15.89,347,1.2
"Nausea and vomiting symptoms",1042,13.32,12690,43.5
"Gastrointestinal atonic and hypomotility disorders NEC",670,8.56,5946,20.4
"Muscle related signs and symptoms NEC",631,8.07,395,1.4
"Disturbances in initiating and maintaining sleep",547,6.99,908,3.1
"Feelings and sensations NEC",539,6.89,1689,5.8
"Heart rate and pulse investigations",502,6.42,0,0
"Physical examination procedures and organ system status",490,6.26,721,2.5
