meddra_concept,frequency,pt_code
Appetite increased,630,10021654
Appetite decreased,322,10061428
Craving,89,10056465
Metabolism increased,51,10020674
Muscle strength increased,42,10028311
Muscle mass increased,32,10028311
Increased heart rate,31,10019303
Cholesterol decreased,28,10005424
Influenza-like illness,27,10022000
Alertness increased,23,10048533
Muscular hypertrophy,23,10028311
Decreased libido,21,10024419
Muscular strength increased,18,10028311
Glycated hemoglobin decreased,18,10018884
Muscular atrophy,17,10028289
Gastro-oesophageal reflux disease,15,10017885
Mood improved,14,10015535
Binge eating disorder,12,10004716
Substance craving,12,10013663
Metabolic abnormality,12,10058097
Muscle mass decreased,11,10028289
Decreased exercise tolerance,11,10051301
Abdominal cramping,11,10000081
Infrequent bowel,11,10059158
Gastrointestinal motility decreased,10,10052105
Skin sensitivity,10,10081765
Muscle strength decreased,10,10028289
Gastric emptying delayed,9,10021518
Improved mood,8,10015535
Glycated haemoglobin decreased,8,10018884
Decreased heart rate variability,7,10082111
Impulsivity,7,10061215
Impulse control disorder,7,10061215
Postprandial fullness,6,10013946
Lean body mass increased,6,10028311
Obsessive-compulsive,6,10029898
Smoking cessation,6,10065386
Hip pain,5,10003239
Skin hyperesthesia,5,10020568
Fatigue decreased,5,10048779
Alcohol aversion,5,10001598
Compulsive behavior,5,10029898
Haemoglobin A1c decreased,5,10018482
Urgency of defecation,5,10012110
Tobacco craving,5,10057852
Sleep quality decreased,5,10062519
Prolonged menstruation,4,10085423
Calmness,4,10016352
Panic,4,10002855
Interstitial cystitis,4,10011796
Delayed menstruation,4,10027336
Gastrointestinal symptoms,4,10017944
Skin odour,4,10040904
Compulsive behaviour,4,10029898
Skin hypersensitivity,4,10081765
Decreased thirst,4,10050200
Insulin decreased,4,10005613
Hyperpigmentation,4,10040865
Attention increased,3,
Gastrointestinal disorders,3,10017944
Basal metabolic rate increased,3,
Cold extremity,3,10034568
Body weight increased,3,10047899
Increased metabolism,3,10020674
Compulsive buying,3,10067948
Intra-abdominal gas,3,10000060
Attention deficit,3,10083622
hypermotility,3,10052402
Reduced exercise tolerance,3,10051301
Mid insomnia,3,10027590
Gastrointestinal motility increased,2,10052402
Metabolism decreased,2,10058097
Impaired glucose tolerance,2,10018429
Hypobicarbonataemia,2,10005359
Impaired concentration,2,10013496
Glycogen decreased,2,10005555
Ankle pain,2,10003239
Pain in buttock,2,10028391
Skin tightening,2,10050637
Alcohol dependence,2,10001639
Generalized pain,2,10058826
Cholesterol level decreased,2,10005424
Decreased gastrointestinal motility,2,10052105
Self-injurious behavior,2,10022524
Decreased fluid intake,2,10014412
Sleep duration decreased,2,10022437
Insulin secretion decreased,2,10005613
Sensitivity,2,10020568
Faecal urgency,2,10012110
Feeling of heaviness,2,10000060
Dreams,2,10000125
Hemoglobin A1c decreased,2,10018884
Impulsiveness,2,10021567
Aural fullness,2,10079904
Muscle tone increased,2,10028311
Urge to smoke,2,10057852
Alertness,2,10048533
Borborigmus,2,10067715
Delayed Menstruation,2,10027336
Insulin level increased,2,10005614
Motivation decreased,2,10002942
Insulin level decreased,2,10005613
Skin fissuring,2,10040849
Non-alcoholic fatty liver disease,2,10090857
Increased respiratory rate,2,10038712
sensitivity,2,10020568
Glycogen increased,2,10005557
Increased heart rate variability,2,10082110
Hypermotility,2,10052402
Reduced rapid eye movement sleep,1,10037841
Urgency of defaecation,1,10012110
Alloknesis,1,10012434
Diabetes mellitus control inadequate,1,10012607
Intestinal motility increased,1,10052402
post-injection reaction,1,10067142
Ingrown nail,1,10022013
Skin picking,1,10065701
Lack of energy,1,10003549
Abnormal bowel habits,1,10079938
Hyperketonemia,1,10000410
Anxiety increased,1,10002855
Urinary bladder spasm,1,10048994
Decreased urine flow,1,10046640
