pt_code_1,pt_code_2,pt_term_1,pt_term_2,n_users,percent_users
10021654,10048779,Increased appetite / hunger / food craving / lack of satiety,Energy increased,372,4.76
10016256,10021654,Fatigue,Increased appetite / hunger / food craving / lack of satiety,356,4.55
10016256,10028813,Fatigue,Nausea,244,3.12
10021654,10028813,Increased appetite / hunger / food craving / lack of satiety,Nausea,236,3.02
10016256,10048779,Fatigue,Energy increased,233,2.98
10016256,10022437,Fatigue,Insomnia,153,1.96
10021654,10022437,Increased appetite / hunger / food craving / lack of satiety,Insomnia,153,1.96
10021654,10047899,Increased appetite / hunger / food craving / lack of satiety,Weight increased,148,1.89
10028813,10048779,Nausea,Energy increased,135,1.73
10010774,10021654,Constipation,Increased appetite / hunger / food craving / lack of satiety,121,1.55
10016256,10025482,Fatigue,Malaise,118,1.51
10019303,10021654,Heart rate increased,Increased appetite / hunger / food craving / lack of satiety,116,1.48
10012735,10021654,Diarrhoea,Increased appetite / hunger / food craving / lack of satiety,110,1.41
10022437,10048779,Insomnia,Energy increased,109,1.39
10000060,10021654,Abdominal distension,Increased appetite / hunger / food craving / lack of satiety,104,1.33
10000188,10021654,Abnormal weight gain,Increased appetite / hunger / food craving / lack of satiety,102,1.3
10021654,10043071,Increased appetite / hunger / food craving / lack of satiety,Tachycardia,102,1.3
10028813,10047700,Nausea,Vomiting,99,1.27
10021654,10025482,Increased appetite / hunger / food craving / lack of satiety,Malaise,98,1.25
10016256,10019303,Fatigue,Heart rate increased,96,1.23
