hlgt_code,n_users,hlgt_term,percent_users
10018073,3021,General system disorders NEC,38.62
10003018,2055,Appetite and general nutritional disorders,26.27
10018012,1866,Gastrointestinal signs and symptoms,23.85
10029305,1100,Neurological disorders NEC,14.06
10017977,1049,Gastrointestinal motility and defaecation conditions,13.41
10028302,888,Muscle disorders,11.35
10040991,757,Sleep disorders and disturbances,9.68
10007512,636,Cardiac and vascular investigations (excl enzyme tests),8.13
10027946,538,Mood disorders and disturbances NEC,6.88
10014982,519,Epidermal and dermal conditions,6.63
10002861,497,Anxiety disorders and symptoms,6.35
10071940,490,Physical examination and organ system status topics,6.26
10062915,401,Therapeutic and nontherapeutic effects (excl toxicity),5.13
10012375,390,Depressed mood disorders and disturbances,4.99
10007521,361,Cardiac arrhythmias,4.61
10027432,320,"Metabolic, nutritional and blood gas investigations",4.09
10037176,306,Psychiatric disorders NEC,3.91
10019231,289,Headaches,3.69
10018424,277,Glucose metabolism disorders (incl diabetes mellitus),3.54
10014412,275,Electrolyte and fluid balance conditions,3.52
10040798,253,Skin appendage conditions,3.23
10040480,239,"Sexual dysfunctions, disturbances and gender identity disorders",3.06
10028393,233,Musculoskeletal and connective tissue disorders NEC,2.98
10014067,216,Eating disorders and disturbances,2.76
10001316,197,Administration site reactions,2.52
10024450,169,Lifestyle issues,2.16
10017943,159,Gastrointestinal conditions NEC,2.03
10023213,157,Joint disorders,2.01
10082206,151,"Cardiac disorders, signs and symptoms NEC",1.93
10013326,146,Menstrual cycle and uterine bleeding disorders,1.87
10013317,144,Lipid metabolism disorders,1.84
10009841,130,Cognitive and attention disorders and disturbances,1.66
10040998,121,Sleep disturbances (incl subtypes),1.55
10046590,120,Urinary tract signs and symptoms,1.53
10000546,119,Metabolism disorders NEC,1.52
10001708,111,Allergic conditions,1.42
10024580,111,Lipid analyses,1.42
10034726,109,Personality disorders and disturbances in behaviour,1.39
10014706,100,Endocrine investigations (incl sex hormones),1.28
10016950,99,Food intolerance syndromes,1.27
10039404,97,Salivary gland conditions,1.24
10057167,96,Mental impairment disorders,1.23
10079101,89,Respiratory tract signs and symptoms,1.14
10047066,87,Vascular disorders NEC,1.11
10019809,87,Hepatobiliary investigations,1.11
10038716,83,Respiratory disorders NEC,1.06
10011954,78,Decreased and nonspecific blood pressure disorders and shock,1.0
10005908,76,Body temperature conditions,0.97
10043413,74,Therapeutic procedures and supportive care NEC,0.95
10047518,74,Vision disorders,0.95
10028037,70,Movement disorders (incl parkinsonism),0.89
10008401,62,Changes in physical activity,0.79
10021563,54,Impulse control disorders NEC,0.69
10013511,52,Disturbances in thinking and perception,0.66
10019654,49,Hepatic and hepatobiliary disorders,0.63
10021879,47,Infections - pathogen unspecified,0.6
10017969,43,Gastrointestinal inflammatory conditions,0.55
10077546,42,Somatic symptom and related disorders,0.54
10018851,42,Haematology investigations (incl blood groups),0.54
10000485,40,Acid-base disorders,0.51
