hlt_code,n_users,hlt_term,percent_users
10003022,2000,Appetite disorders,25.57
10003550,1436,Asthenic conditions,18.36
10018072,1243,General signs and symptoms NEC,15.89
10028817,1042,Nausea and vomiting symptoms,13.32
10017933,670,Gastrointestinal atonic and hypomotility disorders NEC,8.56
10028326,631,Muscle related signs and symptoms NEC,8.07
10013510,547,Disturbances in initiating and maintaining sleep,6.99
10068759,539,Feelings and sensations NEC,6.89
10053103,502,Heart rate and pulse investigations,6.42
10071941,490,Physical examination procedures and organ system status,6.26
10018067,421,General nutritional disorders NEC,5.38
10014556,404,Emotional and mood disturbances NEC,5.16
10016770,403,"Flatulence, bloating and distension",5.15
10043409,387,Therapeutic and nontherapeutic responses,4.95
10013949,383,Dyspeptic signs and symptoms,4.9
10012424,380,Dermal and epidermal conditions NEC,4.86
10033788,359,Paraesthesias and dysaesthesias,4.59
10040021,353,Sensory abnormalities NEC,4.51
10002869,350,Anxiety symptoms,4.47
10012736,346,Diarrhoea (excl infective),4.42
10037908,343,Rate and rhythm disorders NEC,4.38
10027938,340,Mood alterations with depressive symptoms,4.35
10007217,309,Carbohydrate tolerance analyses (incl diabetes),3.95
10029306,302,Neurological signs and symptoms NEC,3.86
10079102,286,Substance related and addictive disorders,3.66
10017926,274,Gastrointestinal and abdominal pains (excl oral and throat),3.5
10027678,271,Gastrointestinal signs and symptoms NEC,3.46
10019233,254,Headaches NEC,3.25
10013509,239,Disturbances in consciousness NEC,3.06
10040470,230,Sexual desire disorders,2.94
10021950,214,Inflammations,2.74
10014068,214,Eating disorders NEC,2.74
10033372,208,Pain and discomfort NEC,2.66
10068757,206,Musculoskeletal and connective tissue pain and discomfort,2.63
10022097,189,Injection site reactions,2.42
10047110,176,Vascular tests NEC (incl blood pressure),2.25
10028323,174,Muscle pains,2.22
10021001,171,Hypoglycaemic conditions NEC,2.19
10062913,166,Muscle weakness conditions,2.12
10017948,159,Gastrointestinal disorders NEC,2.03
10007609,147,Cardiac signs and symptoms NEC,1.88
10044084,143,Total fluid volume decreased,1.83
10023226,140,Joint related signs and symptoms,1.79
10016097,139,Faecal abnormalities NEC,1.78
10040993,137,Sleep disorders NEC,1.75
10024581,132,Lipid metabolism and deposit disorders NEC,1.69
10027948,127,Mood disorders NEC,1.62
10002982,126,Apocrine and eccrine gland disorders,1.61
10018006,119,Gastrointestinal spastic and hypermotility disorders,1.52
10027428,118,Metabolic disorders NEC,1.51
10020638,110,Hyperglycaemic conditions NEC,1.41
10033920,107,Parasomnias,1.37
10027654,97,Allergic conditions NEC,1.24
10030975,97,Oral dryness and saliva altered,1.24
10008651,93,Cholesterol analyses,1.19
10027335,92,Menstruation and uterine bleeding NEC,1.18
10049293,88,Pruritus NEC,1.12
10087057,87,Hepatobiliary function diagnostic procedures,1.11
